order_trip_id,driver_id,customer_id,restaurant_id,order_status,delivery_status,is_completed,order_total_usd,taxes_usd,tip_usd,gross_bookings_usd,customer_request_timestamp,restaurant_accept_timestamp,driver_accept_timestamp,driver_arrival_pickup_timestamp_utc,driver_dropoff_timestamp_utc,datestr
2000,300,1,40000,completed,completed,TRUE,58,5.80,6,69.80,00:20.0,11:51.2,23:22.4,34:53.6,46:24.8,1/19/2022
2001,301,2,40001,completed,completed,TRUE,69,6.90,11,86.90,35:09.0,46:40.2,58:11.4,09:42.6,21:13.8,2/18/2022
2002,302,3,40002,completed,completed,TRUE,41,4.10,8,53.10,38:18.0,49:49.2,01:20.4,12:51.6,24:22.8,2/18/2022
2003,303,4,40003,completed,completed,TRUE,47,4.70,7,58.70,11:21.0,22:52.2,34:23.4,45:54.6,57:25.8,2/15/2022
2004,304,5,40004,completed,completed,TRUE,18,1.80,12,31.80,34:11.0,45:42.2,57:13.4,08:44.6,20:15.8,2/28/2022
2005,305,6,40005,completed,completed,TRUE,22,2.20,6,30.20,28:44.0,40:15.2,51:46.4,03:17.6,14:48.8,1/10/2022
2006,306,7,40006,completed,completed,TRUE,18,1.80,9,28.80,18:34.0,30:05.2,41:36.4,53:07.6,04:38.8,2/10/2022
2007,307,8,40007,completed,completed,TRUE,52,5.20,13,70.20,21:02.0,32:33.2,44:04.4,55:35.6,07:06.8,1/27/2022
2008,308,9,40008,completed,completed,TRUE,44,4.40,15,63.40,41:36.0,53:07.2,04:38.4,16:09.6,27:40.8,2/13/2022
2009,309,10,40009,completed,completed,TRUE,63,6.30,6,75.30,28:43.0,40:14.2,51:45.4,03:16.6,14:47.8,1/17/2022
2010,310,11,40010,completed,completed,TRUE,53,5.30,13,71.30,16:30.0,28:01.2,39:32.4,51:03.6,02:34.8,2/13/2022
2011,311,12,40011,completed,completed,TRUE,70,7.00,14,91.00,57:52.0,09:23.2,20:54.4,32:25.6,43:56.8,1/1/2022
2012,312,13,40012,completed,completed,TRUE,17,1.70,10,28.70,51:13.0,02:44.2,14:15.4,25:46.6,37:17.8,2/27/2022
2013,313,14,40013,completed,completed,TRUE,16,1.60,15,32.60,45:43.0,57:14.2,08:45.4,20:16.6,31:47.8,1/26/2022
2014,314,15,40014,completed,completed,TRUE,18,1.80,11,30.80,18:10.0,29:41.2,41:12.4,52:43.6,04:14.8,1/17/2022
2015,315,16,40015,completed,completed,TRUE,29,2.90,12,43.90,58:00.0,09:31.2,21:02.4,32:33.6,44:04.8,2/18/2022
2016,316,17,40016,completed,completed,TRUE,51,5.10,6,62.10,40:01.0,51:32.2,03:03.4,14:34.6,26:05.8,1/13/2022
2017,317,18,40017,completed,completed,TRUE,58,5.80,14,77.80,23:05.0,34:36.2,46:07.4,57:38.6,09:09.8,1/28/2022
2018,318,19,40018,completed,completed,TRUE,66,6.60,15,87.60,55:24.0,06:55.2,18:26.4,29:57.6,41:28.8,2/16/2022
2019,319,20,40019,completed,completed,TRUE,67,6.70,5,78.70,48:30.0,00:01.2,11:32.4,23:03.6,34:34.8,2/13/2022
2020,320,21,40020,completed,completed,TRUE,49,4.90,9,62.90,41:27.0,52:58.2,04:29.4,16:00.6,27:31.8,2/18/2022
2021,321,22,40021,completed,completed,TRUE,64,6.40,13,83.40,10:25.0,21:56.2,33:27.4,44:58.6,56:29.8,1/9/2022
2022,322,23,40022,completed,completed,TRUE,15,1.50,8,24.50,17:40.0,29:11.2,40:42.4,52:13.6,03:44.8,1/16/2022
2023,323,24,40023,completed,completed,TRUE,58,5.80,12,75.80,11:13.0,22:44.2,34:15.4,45:46.6,57:17.8,1/16/2022
2024,324,25,40024,completed,completed,TRUE,19,1.90,7,27.90,31:56.0,43:27.2,54:58.4,06:29.6,18:00.8,2/9/2022
2025,325,26,40025,completed,completed,TRUE,66,6.60,10,82.60,54:18.0,05:49.2,17:20.4,28:51.6,40:22.8,1/5/2022
2026,326,27,40026,completed,completed,TRUE,24,2.40,15,41.40,46:32.0,58:03.2,09:34.4,21:05.6,32:36.8,1/11/2022
2027,327,28,40027,completed,completed,TRUE,40,4.00,5,49.00,46:43.0,58:14.2,09:45.4,21:16.6,32:47.8,2/17/2022
2028,328,29,40028,completed,completed,TRUE,30,3.00,15,48.00,00:15.0,11:46.2,23:17.4,34:48.6,46:19.8,1/7/2022
2029,329,30,40029,completed,completed,TRUE,23,2.30,11,36.30,25:58.0,37:29.2,49:00.4,00:31.6,12:02.8,2/26/2022
2030,330,31,40030,completed,completed,TRUE,53,5.30,14,72.30,17:15.0,28:46.2,40:17.4,51:48.6,03:19.8,1/23/2022
2031,331,32,40031,completed,completed,TRUE,58,5.80,8,71.80,19:15.0,30:46.2,42:17.4,53:48.6,05:19.8,2/13/2022
2032,332,33,40032,completed,completed,TRUE,18,1.80,12,31.80,10:52.0,22:23.2,33:54.4,45:25.6,56:56.8,1/12/2022
2033,333,34,40033,completed,completed,TRUE,25,2.50,6,33.50,44:02.0,55:33.2,07:04.4,18:35.6,30:06.8,2/13/2022
2034,334,35,40034,completed,completed,TRUE,38,3.80,10,51.80,31:46.0,43:17.2,54:48.4,06:19.6,17:50.8,2/8/2022
2035,335,36,40035,completed,completed,TRUE,66,6.60,7,79.60,34:08.0,45:39.2,57:10.4,08:41.6,20:12.8,1/22/2022
2036,336,37,40036,completed,completed,TRUE,32,3.20,8,43.20,04:26.0,15:57.2,27:28.4,38:59.6,50:30.8,2/20/2022
2037,337,38,40037,completed,completed,TRUE,34,3.40,9,46.40,53:49.0,05:20.2,16:51.4,28:22.6,39:53.8,1/26/2022
2038,338,39,40038,completed,completed,TRUE,60,6.00,8,74.00,51:29.0,03:00.2,14:31.4,26:02.6,37:33.8,1/23/2022
2039,339,40,40039,completed,completed,TRUE,66,6.60,10,82.60,35:13.0,46:44.2,58:15.4,09:46.6,21:17.8,2/16/2022
2040,340,41,40040,completed,completed,TRUE,43,4.30,12,59.30,15:47.0,27:18.2,38:49.4,50:20.6,01:51.8,1/28/2022
2041,341,42,40041,completed,completed,TRUE,55,5.50,6,66.50,52:37.0,04:08.2,15:39.4,27:10.6,38:41.8,1/31/2022
2042,342,43,40042,completed,completed,TRUE,45,4.50,12,61.50,08:00.0,19:31.2,31:02.4,42:33.6,54:04.8,1/12/2022
2043,343,44,40043,completed,completed,TRUE,54,5.40,8,67.40,30:28.0,41:59.2,53:30.4,05:01.6,16:32.8,1/18/2022
2044,344,45,40044,completed,completed,TRUE,25,2.50,8,35.50,11:34.0,23:05.2,34:36.4,46:07.6,57:38.8,2/27/2022
2045,345,46,40045,completed,completed,TRUE,67,6.70,9,82.70,24:18.0,35:49.2,47:20.4,58:51.6,10:22.8,2/18/2022
2046,346,47,40046,completed,completed,TRUE,46,4.60,13,63.60,04:48.0,16:19.2,27:50.4,39:21.6,50:52.8,2/11/2022
2047,347,48,40047,completed,completed,TRUE,20,2.00,8,30.00,19:42.0,31:13.2,42:44.4,54:15.6,05:46.8,1/8/2022
2048,348,49,40048,completed,completed,TRUE,25,2.50,14,41.50,57:06.0,08:37.2,20:08.4,31:39.6,43:10.8,1/10/2022
2049,349,50,40049,completed,completed,TRUE,38,3.80,10,51.80,44:10.0,55:41.2,07:12.4,18:43.6,30:14.8,1/21/2022
2050,350,51,40050,completed,completed,TRUE,51,5.10,14,70.10,41:30.0,53:01.2,04:32.4,16:03.6,27:34.8,1/27/2022
2051,351,52,40051,completed,completed,TRUE,31,3.10,5,39.10,29:07.0,40:38.2,52:09.4,03:40.6,15:11.8,1/10/2022
2052,352,53,40052,completed,completed,TRUE,61,6.10,15,82.10,13:30.0,25:01.2,36:32.4,48:03.6,59:34.8,1/11/2022
2053,353,54,40053,completed,completed,TRUE,35,3.50,11,49.50,58:34.0,10:05.2,21:36.4,33:07.6,44:38.8,2/13/2022
2054,354,55,40054,completed,completed,TRUE,63,6.30,15,84.30,58:11.0,09:42.2,21:13.4,32:44.6,44:15.8,1/9/2022
2055,355,56,40055,completed,completed,TRUE,25,2.50,9,36.50,53:22.0,04:53.2,16:24.4,27:55.6,39:26.8,1/31/2022
2056,356,57,40056,completed,completed,TRUE,19,1.90,5,25.90,43:41.0,55:12.2,06:43.4,18:14.6,29:45.8,1/2/2022
2057,357,58,40057,completed,completed,TRUE,53,5.30,7,65.30,32:20.0,43:51.2,55:22.4,06:53.6,18:24.8,1/17/2022
2058,358,59,40058,completed,completed,TRUE,70,7.00,6,83.00,45:18.0,56:49.2,08:20.4,19:51.6,31:22.8,1/27/2022
2059,359,60,40059,completed,completed,TRUE,18,1.80,15,34.80,46:15.0,57:46.2,09:17.4,20:48.6,32:19.8,1/16/2022
2060,360,61,40060,completed,completed,TRUE,30,3.00,11,44.00,47:32.0,59:03.2,10:34.4,22:05.6,33:36.8,1/21/2022
2061,361,62,40061,completed,completed,TRUE,50,5.00,10,65.00,49:52.0,01:23.2,12:54.4,24:25.6,35:56.8,1/17/2022
2062,362,63,40062,completed,completed,TRUE,46,4.60,15,65.60,40:29.0,52:00.2,03:31.4,15:02.6,26:33.8,2/1/2022
2063,363,64,40063,completed,completed,TRUE,40,4.00,9,53.00,07:14.0,18:45.2,30:16.4,41:47.6,53:18.8,1/19/2022
2064,364,65,40064,completed,completed,TRUE,61,6.10,11,78.10,53:48.0,05:19.2,16:50.4,28:21.6,39:52.8,2/13/2022
2065,365,66,40065,completed,completed,TRUE,50,5.00,10,65.00,34:18.0,45:49.2,57:20.4,08:51.6,20:22.8,2/18/2022
2066,366,67,40066,completed,completed,TRUE,20,2.00,9,31.00,12:33.0,24:04.2,35:35.4,47:06.6,58:37.8,1/9/2022
2067,367,68,40067,completed,completed,TRUE,33,3.30,11,47.30,41:45.0,53:16.2,04:47.4,16:18.6,27:49.8,2/4/2022
2068,368,69,40068,completed,completed,TRUE,58,5.80,7,70.80,48:03.0,59:34.2,11:05.4,22:36.6,34:07.8,1/18/2022
2069,369,70,40069,completed,completed,TRUE,32,3.20,9,44.20,12:29.0,24:00.2,35:31.4,47:02.6,58:33.8,1/9/2022
2070,370,71,40070,completed,completed,TRUE,22,2.20,9,33.20,37:12.0,48:43.2,00:14.4,11:45.6,23:16.8,1/17/2022
2071,371,72,40071,completed,completed,TRUE,41,4.10,14,59.10,28:45.0,40:16.2,51:47.4,03:18.6,14:49.8,1/22/2022
2072,372,73,40072,completed,completed,TRUE,60,6.00,14,80.00,33:18.0,44:49.2,56:20.4,07:51.6,19:22.8,2/5/2022
2073,373,74,40073,completed,completed,TRUE,68,6.80,9,83.80,41:31.0,53:02.2,04:33.4,16:04.6,27:35.8,2/27/2022
2074,374,75,40074,completed,completed,TRUE,51,5.10,11,67.10,59:15.0,10:46.2,22:17.4,33:48.6,45:19.8,1/10/2022
2075,375,76,40075,completed,completed,TRUE,37,3.70,11,51.70,10:04.0,21:35.2,33:06.4,44:37.6,56:08.8,2/20/2022
2076,376,77,40076,completed,completed,TRUE,68,6.80,6,80.80,01:54.0,13:25.2,24:56.4,36:27.6,47:58.8,1/24/2022
2077,377,78,40077,completed,completed,TRUE,23,2.30,12,37.30,26:16.0,37:47.2,49:18.4,00:49.6,12:20.8,1/6/2022
2078,378,79,40078,completed,completed,TRUE,19,1.90,15,35.90,50:08.0,01:39.2,13:10.4,24:41.6,36:12.8,1/27/2022
2079,379,80,40079,completed,completed,TRUE,46,4.60,14,64.60,41:51.0,53:22.2,04:53.4,16:24.6,27:55.8,2/13/2022
2080,380,81,40080,completed,completed,TRUE,53,5.30,7,65.30,44:00.0,55:31.2,07:02.4,18:33.6,30:04.8,1/21/2022
2081,381,82,40081,completed,completed,TRUE,46,4.60,7,57.60,35:08.0,46:39.2,58:10.4,09:41.6,21:12.8,2/19/2022
2082,382,83,40082,completed,completed,TRUE,40,4.00,6,50.00,49:03.0,00:34.2,12:05.4,23:36.6,35:07.8,1/21/2022
2083,383,84,40083,completed,completed,TRUE,63,6.30,8,77.30,58:57.0,10:28.2,21:59.4,33:30.6,45:01.8,1/26/2022
2084,384,85,40084,completed,completed,TRUE,67,6.70,13,86.70,30:38.0,42:09.2,53:40.4,05:11.6,16:42.8,1/31/2022
2085,385,86,40085,completed,completed,TRUE,50,5.00,7,62.00,44:59.0,56:30.2,08:01.4,19:32.6,31:03.8,2/13/2022
2086,386,87,40086,completed,completed,TRUE,56,5.60,13,74.60,40:57.0,52:28.2,03:59.4,15:30.6,27:01.8,2/24/2022
2087,387,88,40087,completed,completed,TRUE,55,5.50,6,66.50,59:06.0,10:37.2,22:08.4,33:39.6,45:10.8,2/17/2022
