restaurant_id,name,address,category,city,country,postalCode,state,status,expected_prep_time,max_delivery_radius,is_delivery,is_pickup,first_order_date
40000,SONIC Drive In,800 N Canal Blvd,American Restaurant and Fast Food Restaurant,Thibodaux,US,70301,LA,ACTIVE,22,6,Yes,Yes,6/10/2021
40001,SONIC Drive In,800 N Canal Blvd,Fast Food Restaurants,Thibodaux,US,70301,LA,ACTIVE,20,8,Yes,Yes,2/15/2021
40002,Taco Bell,206 Wears Valley Rd,Fast Food Restaurant,Pigeon Forge,US,37863,TN,ACTIVE,23,9,Yes,Yes,4/15/2021
40003,Arby's,3652 Parkway,Fast Food,Pigeon Forge,US,37863,TN,DELETED,28,8,Yes,Yes,6/3/2021
40004,Steak 'n Shake,2118 Mt Zion Parkway,Fast Food Restaurant,Morrow,US,30260,GA,ACTIVE,39,15,Yes,Yes,8/1/2021
40005,Wendy's,9768 Grand River Ave,Fast Food Restaurant,Detroit,US,48204,MI,ACTIVE,39,7,Yes,Yes,5/6/2021
40006,Burger King,13600 W McNichols Rd,Fast Food Restaurant,Detroit,US,48235,MI,ACTIVE,23,6,Yes,Yes,11/11/2021
40007,Chipotle Mexican Grill,4111 Oceanside Blvd,Fast Food,Oceanside,US,92056,CA,DELETED,27,11,Yes,Yes,7/1/2021
40008,7-Eleven,162 Old Country Rd,Fast Food Restaurants,Riverhead,US,11901,NY,ACTIVE,39,14,Yes,Yes,12/26/2021
40009,Dairy Queen,1407 S Stockton Ave,Fast Food Restaurant,Monahans,US,79756,TX,ACTIVE,34,7,Yes,Yes,9/10/2021
40010,Dairy Queen,208 W Mason St,Fast Food Restaurant and Ice Cream Shop,Mabank,US,75147,TX,ACTIVE,21,6,Yes,Yes,5/13/2021
40011,Dairy Queen,5801 Highway 6,Ice Cream Shop and Fast Food Restaurant,Missouri City,US,77459,TX,ACTIVE,35,12,Yes,Yes,10/18/2021
40012,Mr. Hero,3454 Manchester Rd,Fast Food Restaurant,Akron,US,44319,OH,ACTIVE,37,12,Yes,Yes,8/11/2021
40013,Golden Chick,1500 E Main St,Fast Food Restaurants,Eastland,US,76448,TX,ACTIVE,26,6,Yes,Yes,5/30/2021
40014,Carl's Jr,1190 W Foothill Blvd,Fast Food Restaurant,Azusa,US,91702,CA,ACTIVE,32,12,Yes,Yes,8/19/2021
40015,Checkers,601 N Main St,Fast Food Restaurants,Summerville,US,29483,SC,ACTIVE,32,5,Yes,Yes,9/22/2021
40016,Rally's,1927 Woodville Road,Fast Food,Oregon,US,43616,OH,ACTIVE,30,6,Yes,Yes,8/30/2021
40017,Togo's,6316 W 89th St,Fast Food,Los Angeles,US,90045,CA,ACTIVE,23,8,Yes,Yes,4/14/2021
40018,Rally's,3105 Highway 80 E,Fast Food Restaurants,Pearl,US,39208,MS,DELETED,24,7,Yes,Yes,7/31/2021
40019,Checkers,2860 E Paris Ave SE,Fast Food Restaurant,Grand Rapids,US,49512,MI,ACTIVE,25,8,Yes,Yes,12/13/2021
40020,Rally's,2424 E State Road 44,Fast Food Restaurant,Shelbyville,US,46176,IN,ACTIVE,30,11,Yes,Yes,5/14/2021
40021,Checkers,1611 Broadway,Fast Food,Brooklyn,US,11207,NY,DELETED,27,6,Yes,Yes,5/28/2021
40022,Checkers,1720 Walton Way,Fast Food Restaurants,Augusta,US,30904,GA,ACTIVE,22,15,Yes,Yes,12/24/2021
